sample_id,source_path,window_start_ts,window_end_ts,window_rel_start_s,window_rel_end_s,count_2e4,frame116_count,seed_touch_present,ramp_present,phase_plateau_present,phase_exit_present,corridor_ratio,aligned_ratio,fff4_hits,max_phase_sum,grade,ladder_level
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179596506,1777179611506,230.0,245.0,502,502,0,1,0,0,0.004,0.454,1,98,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179601506,1777179616506,235.0,250.0,496,498,0,1,0,0,0.004,0.245,1,185,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179606506,1777179621506,240.0,255.0,510,510,0,0,0,0,0.002,0.171,0,186,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179611506,1777179626506,245.0,260.0,516,512,0,0,0,0,0.004,0.277,0,186,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179616506,1777179631506,250.0,265.0,513,506,0,0,0,0,0.004,0.289,0,186,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179621506,1777179636506,255.0,270.0,510,502,0,0,0,0,0.002,0.245,0,184,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179626506,1777179641506,260.0,275.0,503,506,0,0,0,0,0.0,0.2,0,96,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179631506,1777179646506,265.0,280.0,508,503,0,0,0,0,0.0,0.137,0,117,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179636506,1777179651506,270.0,285.0,507,512,0,0,0,0,0.0,0.189,0,136,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179641506,1777179656506,275.0,290.0,499,512,0,0,0,0,0.0,0.217,0,136,D,
