"sample_id","sample_path","value_type_primary","ladder_level","grade","frame116_count","duration_min","seed_touch_present","ramp_present","phase_plateau_present","phase_exit_present","joined_lifecycle_strength","family_131_primary_zone","family_260_primary_zone","family_131_260_aligned","family_fff4_presence","corridor_match_strength","id_2e4_activity_level","id_d8_structural_reference_strength","companion_primary_mode","companion_b45_abs_corr","companion_b67_abs_corr","disengage_suspect_present","lane_change_transition_present","active_core_present","late_stop_present","bridge_candidate","top_tier_peak_count","parse_errors","notes"
"toyota_all_20260314_175246_001","D:\Temp\20260312\raw_can_logs\20260314\raw_can_logs\toyota_all_20260314_175246_001.ndjson","entry_side","3","B","15932","7.96","1","1","0","0","1","f986","0025","3","1","1","1","1","b4-b5","0.469","0.03","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260314_173834_000","D:\Temp\20260312\raw_can_logs\20260314\raw_can_logs\toyota_seg_IGN_ON_20260314_173834_000.ndjson","entry_side","3","B","24304","11.53","1","1","0","0","1","0039","0039","3","1","1","1","1","b4-b5","0.271","0.026","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260314_175006_001","D:\Temp\20260312\raw_can_logs\20260314\raw_can_logs\toyota_seg_IGN_ON_20260314_175006_001.ndjson","entry_side","3","B","21853","10.64","1","1","0","0","1","f986","0025","3","1","1","1","1","b4-b5","0.486","0.032","","","","","no","0","0",""
"toyota_all_20260315_171201_000","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_171201_000.ndjson","companion_control","","D","1429","1.14","0","0","0","0","0","0000","0000","3","0","0","1","1","b4-b5","0.851","0.158","","","","","no","0","0",""
"toyota_all_20260315_171413_000","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_171413_000.ndjson","entry_side","3","B","29920","14.39","1","1","0","0","1","001c","001c","3","1","1","1","1","b4-b5","0.143","0.035","","","","","no","0","0",""
"toyota_all_20260315_172836_001","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_172836_001.ndjson","entry_side","3","B","29855","13.8","1","1","0","0","1","0035","003b","2","1","1","1","1","b4-b5","0.284","0.041","","","","","no","0","0",""
"toyota_all_20260315_174224_002","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_174224_002.ndjson","entry_side","3","B","30000","13.89","1","1","0","0","1","ffbe","ffbe","2","1","1","1","1","b4-b5","0.614","0.025","","","","","no","0","0",""
"toyota_all_20260315_175618_003","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_175618_003.ndjson","entry_side","","C","30056","13.78","0","1","1","1","0","001c","001c","2","1","1","1","1","b4-b5","0.439","0.026","","","","","no","1","0",""
"toyota_all_20260315_181004_004","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_all_20260315_181004_004.ndjson","entry_side","3","B","16592","8.05","1","1","0","0","1","f986","008a","3","1","1","1","1","b4-b5","0.492","0.028","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260315_171226_000","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_171226_000.ndjson","companion_control","","D","1423","0.74","0","0","0","0","0","0000","0000","3","0","0","1","1","b4-b5","0.861","0.175","","","","","no","0","0",""
